Gene_Symbol,logFC,PValue
MYCNOS,4.273486918,1.44E-26
MYCN,3.654110728,2.33E-34
SLC30A3,3.488199505,3.35E-19
VAX2,3.457597496,1.91E-24
PHGDH,3.184722855,4.82E-34
DLX5,3.155248705,5.47E-18
NCAN,3.042615491,5.40E-19
SLCO4A1,3.003803426,5.52E-26
TSSC2,2.995334,3.97E-20
ODC1,2.951477334,2.14E-26
DDX1,2.922058288,2.34E-10
TRIM54,2.871209,4.40E-12
MIR3648,2.850932,7.46E-15
NBAS,2.815706,1.18E-12
PLEKHG4B,2.771501,1.64E-17
LINC00839,2.751253,6.20E-18
RPL22L1,2.675509,8.22E-47
TWIST1,2.669311497,3.28E-15
PRRX2,2.659746,1.77E-16
SLC38A5,2.625278,2.50E-24
PRDM8,2.609431,3.73E-18
CCNYL2,2.59349,8.67E-15
CRYGD,2.583128691,3.66E-14
NXPH2,2.574972468,1.60E-10
LRRN1,2.549801,1.43E-17
DLL3,2.512399268,1.31E-20
FOXC1,2.511062683,5.33E-11
ANKRD18B,2.502412,9.89E-17
RHBG,2.474782,2.74E-14
JPH1,2.42491,1.60E-24
DNAJC5G,2.412316,1.42E-10
CRABP1,2.40858334,1.81E-06
HK2,2.380778023,3.51E-23
CPLX3,2.376236,1.21E-13
EXO1,2.367085443,8.39E-51
FAM49A,2.342546,2.38E-09
ZNF695,2.314524,1.14E-33
SCRT2,2.291159,6.96E-26
C19orf48,2.25103,3.60E-49
RN7SL2,2.234997,1.18E-10
HBB,2.224919771,1.43E-10
CKS2,2.211866487,8.76E-55
MND1,2.18425,2.29E-45
MAD2L1,2.177969944,3.10E-51
HSPA6,2.169047232,9.34E-10
BIRC5,2.165322977,1.84E-38
UBE2C,2.156383036,6.01E-43
RPL36A,2.139249333,2.10E-56
NKAIN4,2.136149,7.41E-09
CDKN3,2.130044522,3.37E-39
CDT1,2.127282,3.04E-44
PRSS12,2.124527451,2.65E-08
CENPA,2.090742001,2.27E-36
CPNE7,2.084434335,1.27E-09
ASCL1,2.082084058,9.04E-11
DUSP4,2.075991177,3.83E-10
ISLR2,2.069918,1.68E-06
CCNB2,2.054971953,6.78E-42
PSAT1,2.04923655,3.50E-28
C8orf31,2.046113,6.81E-14
NEIL3,2.036543,2.24E-18
HOXD9,2.029454088,1.46E-15
FAM83D,2.024919,2.08E-37
HPDL,2.024202,1.07E-23
GALNT14,2.023673,3.79E-08
RPL39,2.023032861,1.09E-51
ALK,2.022429535,1.21E-10
PRLHR,2.008188133,3.19E-07
SPC24,2.001487,3.18E-46
CDK4,1.973848229,5.18E-20
MPST,1.97219034,8.11E-60
DNAH14,1.971171,5.87E-32
UBE2S,1.97053974,1.98E-61
NHLH2,1.963768234,9.00E-06
RCOR2,1.955036,2.39E-55
RNU1-1,1.954289069,3.86E-13
LINC00478,1.953504,3.34E-11
NCAPG,1.951729,8.22E-37
CHEK1,1.946294279,6.05E-33
SLC1A5,1.945168808,1.73E-30
MYBL2,1.94475079,1.31E-34
RN7SK,1.939537,2.08E-11
KIF15,1.933443,1.78E-31
GEN1,1.924953,4.59E-12
GINS2,1.921206,3.31E-41
CDCA5,1.920948,1.36E-43
KIAA0101,1.916274444,1.50E-36
DEPDC1B,1.911752,4.36E-36
CDCA7L,1.906686,1.50E-17
ETV1,1.900825309,1.13E-07
HMGB3,1.896014209,2.80E-69
RPS7,1.895084887,6.58E-47
CLMP,1.894749,2.26E-13
RPS11,1.893757602,8.39E-47
BRIP1,1.881292,9.01E-27
NME1,1.878608595,1.38E-65
BTBD11,1.878504,5.59E-15
RPL36,1.875904832,3.11E-41
CENPF,1.875087666,1.93E-30
PTTG1,1.874323081,5.31E-33
COL26A1,1.87045,1.27E-12
NPM1,1.861263434,3.45E-52
RPS21,1.861237679,1.41E-42
CDC45,1.848442394,6.30E-32
DDR2,1.844846483,2.35E-13
BAMBI,1.843254917,3.06E-14
FEN1,1.838842055,3.07E-49
RRM2,1.836351618,1.48E-19
TK1,1.831952687,1.26E-27
KIF4A,1.829633183,7.06E-40
DLGAP5,1.828693387,2.86E-31
MCM2,1.826030791,6.29E-60
HIST1H1C,1.825094348,3.06E-16
ASS1,1.822070276,6.06E-10
TMEM97,1.819738066,6.08E-36
AHCY,1.819025312,1.05E-62
AURKA,1.814371837,2.23E-37
MTHFD2,1.812276918,2.02E-34
BLM,1.81043668,6.95E-30
FBL,1.809542395,3.32E-47
POLE2,1.805972636,1.76E-36
RPL18A,1.805551122,1.12E-43
ORC6,1.803533949,6.33E-37
CCT2,1.796198645,1.12E-12
ABCC4,1.793547466,5.36E-21
DANCR,1.7923,1.02E-45
RMI2,1.79229,1.10E-42
SNRPE,1.790697994,5.60E-43
SMO,1.788474498,2.52E-15
MRPL11,1.786733,4.96E-63
RPS2,1.784287919,3.80E-54
CUX2,1.780773603,6.36E-10
RNF150,1.775666,3.58E-15
CDCA4,1.774333,2.09E-47
E2F1,1.773513135,4.39E-36
TMSB15A,1.773195246,1.91E-42
EEF1B2,1.767197803,8.06E-41
ERCC6L,1.766856,1.08E-11
FEZ2,1.766397922,5.28E-08
RPS15A,1.763938296,8.77E-52
FBXO17,1.763324,1.56E-12
PPP1R14B,1.762295154,2.57E-62
RPS17,1.755964548,1.75E-39
ENDOG,1.752634605,1.76E-29
RPS13,1.752598956,8.99E-55
FZD2,1.751919893,1.30E-08
SAPCD2,1.750054,9.76E-31
MCM10,1.747392,7.46E-30
FAM72C,1.74685,1.26E-17
RNASEH2A,1.744719048,1.33E-54
CDCA2,1.742692,9.28E-24
CENPE,1.737513482,9.47E-22
AURKB,1.733042204,1.19E-27
XRCC2,1.731461555,7.73E-23
CCNB1,1.728228528,3.37E-38
RPS3A,1.726829091,4.07E-47
RPL13AP5,1.726686,2.69E-39
GAL,1.725222153,2.21E-07
SH3GL3,1.724220688,6.06E-13
CENPN,1.72354,1.55E-30
KIF18A,1.721959,3.88E-24
CDK1,1.719812134,2.19E-29
H2AFX,1.718328156,3.62E-38
NCR3LG1,1.717845,3.55E-11
VRK1,1.716317186,2.06E-39
SGOL1,1.714118,5.36E-22
FAM19A5,1.712400585,7.69E-12
SLC16A1,1.709631888,6.52E-37
SST,1.704741334,4.05E-04
ACVR2B,1.704341291,3.86E-10
FAM72D,1.703952,4.67E-17
NCAPH,1.703346718,3.41E-33
SKA3,1.699774,1.37E-32
