Gene_Symbol,logFC,PValue
MYCNOS,4.247423055,1.25E-23
MYCN,3.603677386,4.81E-29
SLC30A3,3.475151843,7.96E-22
VAX2,3.383001715,3.55E-23
ODC1,3.202945838,1.84E-23
PHGDH,3.110209532,9.48E-30
DLX5,3.089053653,5.53E-16
NBAS,2.998961268,1.03E-12
TSSC2,2.998881,1.28E-21
NCAN,2.926316955,5.13E-18
SLCO4A1,2.919710163,1.54E-24
DDX1,2.840813562,1.17E-09
NMU,2.832395562,8.42E-13
TRIM54,2.825470691,1.77E-13
PLEKHG4B,2.822218,3.49E-18
LINC00839,2.777851,1.93E-21
PRRX2,2.709642953,2.49E-16
MIR3648,2.667228,4.12E-13
CCNYL2,2.644912,6.97E-19
SLC38A5,2.628082,6.11E-26
CRYGD,2.616873998,1.51E-14
RPL22L1,2.594968,5.19E-35
TWIST1,2.567395407,4.31E-16
CPLX3,2.529611,3.68E-14
PRDM8,2.524192955,6.15E-19
ANKRD18B,2.474569,6.15E-18
RHBG,2.46383408,5.63E-14
DLL3,2.460304398,8.54E-20
LRRN1,2.452572526,1.83E-16
TLX3,2.451987406,5.35E-10
DNAJC5G,2.41602,2.29E-12
JPH1,2.40043597,2.00E-24
FOXC1,2.399713335,1.71E-10
NXPH2,2.355511289,9.75E-09
HK2,2.336944369,1.31E-22
EXO1,2.312108646,8.30E-43
HSPA6,2.298690485,1.13E-10
RN7SL2,2.297131,7.33E-11
ZNF695,2.296141483,8.85E-33
ASCL1,2.214071499,6.61E-11
C19orf48,2.209063,9.90E-42
SCRT2,2.202138,1.51E-22
HBB,2.175542949,4.53E-09
CRABP1,2.151938482,3.38E-05
MND1,2.110444,1.18E-37
FAM49A,2.100983,2.92E-08
UBE2C,2.093439428,2.80E-36
CKS2,2.087884762,8.43E-39
MAD2L1,2.080985612,5.48E-42
BIRC5,2.069355379,3.07E-33
CDT1,2.068919,2.02E-34
PSAT1,2.039617232,3.53E-27
RPL36A,2.034199208,1.09E-35
CENPA,2.026032656,1.88E-34
FAM83D,2.014946,3.95E-38
HPDL,2.000776,1.42E-21
ALK,1.999431667,5.54E-11
DUSP4,1.997456609,3.71E-10
DNAH14,1.994016,7.68E-29
CPNE7,1.992118801,2.02E-09
CDKN3,1.988324713,3.18E-37
CDK4,1.987989749,6.56E-18
NEIL3,1.980955464,5.75E-18
GALNT14,1.974684,1.42E-08
C8orf31,1.969464,3.08E-12
RPL39,1.966705797,8.87E-32
SPC24,1.964372,6.42E-41
CCNB2,1.961693785,3.60E-35
ISLR2,1.948115614,2.92E-06
PRSS12,1.94458601,4.30E-07
PRLHR,1.941438232,1.63E-06
HIST1H1C,1.922052153,3.58E-17
SLC1A5,1.919464762,3.69E-31
HOXD9,1.917278709,5.52E-16
KIF15,1.912427216,5.50E-31
CLMP,1.911731,1.43E-14
CHEK1,1.907873957,3.13E-32
NCAPG,1.907431,7.06E-34
BRIP1,1.906293,3.54E-29
LINC00478,1.888312,3.38E-10
CDCA7L,1.887317757,8.38E-18
RCOR2,1.877545,6.02E-42
KIAA0101,1.87343529,1.47E-31
MPST,1.871902615,5.28E-39
XRCC2,1.865916104,3.72E-27
RNU1-1,1.86575691,8.89E-12
CDCA5,1.862899,1.42E-42
UBE2S,1.861744355,7.74E-46
MYBL2,1.855595048,1.94E-29
DEPDC1B,1.853334244,2.15E-33
RRM2,1.852211081,1.54E-20
CDC45,1.850562833,1.54E-31
DHRS2,1.848620055,3.99E-07
RN7SK,1.847354,1.96E-10
CENPF,1.842819359,3.31E-29
GINS2,1.842612782,1.29E-34
IAH1,1.839483,6.44E-10
GEN1,1.839323,3.27E-12
NKAIN4,1.831086,2.21E-07
RNF150,1.827618038,4.59E-16
NPM1,1.825931821,3.21E-35
BTBD11,1.823004,2.81E-13
RPL36,1.818028037,7.93E-28
DDR2,1.814865822,3.62E-13
DLK1,1.810731195,1.30E-04
